date,city,avg_temp,is_anomaly
2026-08-22,Davao City,27.35,True
2026-08-22,Baguio,18.4,False
2026-08-23,Manila,28.2,False
2026-08-23,Cebu City,29.85,False
2026-08-23,Davao City,26.75,False
2026-08-23,Baguio,18.85,False
2026-08-24,Manila,28.9,False
2026-08-24,Cebu City,29.65,False
2026-08-24,Davao City,26.3,False
2026-08-24,Baguio,19.3,False
2026-08-25,Manila,28.3,False
2026-08-25,Cebu City,29.4,False
2026-08-25,Davao City,26.75,False
2026-08-25,Baguio,18.95,False
2026-08-27,Manila,27.7,False
2026-08-27,Cebu City,29.5,False
2026-08-27,Davao City,26.35,False
2026-08-27,Baguio,18.05,False
2026-08-28,Manila,26.5,False
2026-08-28,Cebu City,28.6,False
2026-08-28,Davao City,26.25,False
2026-08-28,Baguio,17.6,False
2026-08-29,Manila,26.5,False
2026-08-29,Cebu City,29.85,False
2026-08-29,Davao City,26.95,False
2026-08-29,Baguio,17.4,True
2026-08-30,Manila,27.0,False
2026-08-30,Cebu City,29.85,False
2026-08-30,Davao City,26.1,False
2026-08-30,Baguio,17.5,False
2026-08-31,Manila,28.1,False
2026-08-31,Cebu City,29.65,False
2026-08-31,Davao City,26.35,False
2026-08-31,Baguio,17.65,False
2026-09-01,Manila,28.4,False
2026-09-01,Cebu City,29.6,False
2026-09-01,Davao City,27.25,True
2026-09-01,Baguio,18.1,False
2026-09-02,Manila,27.75,False
2026-09-02,Cebu City,29.1,False
2026-09-02,Davao City,26.55,False
2026-09-02,Baguio,18.0,False
2026-09-03,Manila,27.75,False
2026-09-03,Cebu City,29.8,False
2026-09-03,Davao City,27.2,False
2026-09-03,Baguio,17.7,False
